"date","county","rides_inbound","spend","clicks","reach","gas_i","unem_i","precip","tempMax","tempMin","pctPosSent","cases","weekend"
2020-09-01,"Los Angeles",821,0,0,0,3.14528571428571,11.641935483871,0,74,64,0.846698113207547,242521,0
2020-09-01,"Orange",514,0,0,0,3.14528571428571,11.641935483871,0,78,67,0.956204379562044,48825,0
2020-09-01,"Riverside",629,0,0,0,3.14528571428571,11.641935483871,0,89,61,0.972162740899358,53153,0
2020-09-01,"San Bernardino",1655,0,0,0,3.14528571428571,11.641935483871,0,100,61,1,47642,0
2020-09-01,"Ventura",251,0,0,0,3.14528571428571,11.641935483871,0,72,59,1,10866,0
2020-09-02,"Los Angeles",780,0,0,0,3.14557142857143,11.5870967741935,0,72,63,0.917068466730955,243935,0
2020-09-02,"Orange",523,0,0,0,3.14557142857143,11.5870967741935,0,79,66,0.955528846153846,49142,0
2020-09-02,"Riverside",515,0,0,0,3.14557142857143,11.5870967741935,0,92,62,0.982403594159491,53306,0
2020-09-02,"San Bernardino",1697,0,0,0,3.14557142857143,11.5870967741935,0,102,68,1,48245,0
2020-09-02,"Ventura",242,0,0,0,3.14557142857143,11.5870967741935,0,71,57,1,10899,0
2020-09-03,"Los Angeles",783,0,0,0,3.14585714285714,11.5322580645161,0,74,63,0.987829614604463,244999,0
2020-09-03,"Orange",542,0,0,0,3.14585714285714,11.5322580645161,0,81,66,0.947075208913649,49767,0
2020-09-03,"Riverside",527,0,0,0,3.14585714285714,11.5322580645161,0,96,64,0.980919107766729,53703,0
2020-09-03,"San Bernardino",1589,0,0,0,3.14585714285714,11.5322580645161,0,106,66,1,48615,0
2020-09-03,"Ventura",233,0,0,0,3.14585714285714,11.5322580645161,0,72,57,1,11031,0
2020-09-04,"Los Angeles",808,72.93,240,11320,3.14614285714286,11.4774193548387,0,77,64,0.988,246407,0
2020-09-04,"Orange",528,3.96,20,571,3.14614285714286,11.4774193548387,0,86,67,0.944535073409462,50135,0
2020-09-04,"Riverside",396,0.29,1,63,3.14614285714286,11.4774193548387,0,103,67,0.977450747685735,53987,0
2020-09-04,"San Bernardino",1473,0.53,0,83,3.14614285714286,11.4774193548387,0,109,66,1,48615,0
2020-09-04,"Ventura",215,0.5,1,66,3.14614285714286,11.4774193548387,0,75,59,1,11109,0
2020-09-05,"Los Angeles",486,126.47,287,14963,3.14642857142857,11.4225806451613,0,86,67,0.988015978695073,247542,1
2020-09-05,"Orange",475,11.68,30,1189,3.14642857142857,11.4225806451613,0,104,70,0.947604790419162,50499,1
2020-09-05,"Riverside",122,1.9,4,174,3.14642857142857,11.4225806451613,0,117,70,0.98190892077355,53987,1
2020-09-05,"San Bernardino",954,1.67,7,188,3.14642857142857,11.4225806451613,0,111,70,1,49325,1
2020-09-05,"Ventura",0,1.32,3,152,3.14642857142857,11.4225806451613,0,77,60,1,11171,1
2020-09-06,"Los Angeles",397,0,0,0,3.14671428571429,11.3677419354839,0,99,71,0.986769570011025,248334,1
2020-09-06,"Orange",422,0,0,0,3.14671428571429,11.3677419354839,0,105,74,0.952254641909814,50749,1
