"date","rides_inbound","spend","clicks","reach","gas_i","unem_i","precip","tempMax","tempMin","pctPosSent","cases","weekend","rides_inbound_l7","spend_l7","clicks_l7","reach_l7","gas_i_l7","unem_i_l7","precip_l7","tempMax_l7","tempMin_l7","pctPosSent_l7","cases_l7","weekend_l7","rides_inbound_l14","spend_l14","clicks_l14","reach_l14","gas_i_l14","unem_i_l14","precip_l14","tempMax_l14","tempMin_l14","pctPosSent_l14","cases_l14","weekend_l14","county"
2020-09-01,821,0,0,0,3.14528571428571,11.641935483871,0,74,64,0.846698113207547,242521,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-02,780,0,0,0,3.14557142857143,11.5870967741935,0,72,63,0.917068466730955,243935,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-03,783,0,0,0,3.14585714285714,11.5322580645161,0,74,63,0.987829614604463,244999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-04,808,72.93,240,11320,3.14614285714286,11.4774193548387,0,77,64,0.988,246407,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-05,486,126.47,287,14963,3.14642857142857,11.4225806451613,0,86,67,0.988015978695073,247542,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-06,397,0,0,0,3.14671428571429,11.3677419354839,0,99,71,0.986769570011025,248334,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-07,357,0,0,0,3.147,11.3129032258065,0,83,70,0.986761229314421,248821,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-08,814,412.04,1093,67748,3.14628571428571,11.258064516129,0,77,69,0.986666666666667,249241,0,821,0,0,0,3.14528571428571,11.641935483871,0,74,64,0.846698113207547,242521,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-09,741,508.283959,1152,90600,3.14557142857143,11.2032258064516,0,73,64,0.982986767485822,249859,0,780,0,0,0,3.14557142857143,11.5870967741935,0,72,63,0.917068466730955,243935,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
2020-09-10,772,502.925068,1074,86042,3.14485714285714,11.1483870967742,0,70,62,0.977873977873978,251024,0,783,0,0,0,3.14585714285714,11.5322580645161,0,74,63,0.987829614604463,244999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles"
