"date","county","rides_inbound","gas_i","unem_i","precip","tempMax","tempMin","pctPosSent","weekend","rides_inbound_l7","gas_i_l7","unem_i_l7","precip_l7","tempMax_l7","tempMin_l7","pctPosSent_l7","weekend_l7","rides_inbound_l14","gas_i_l14","unem_i_l14","precip_l14","tempMax_l14","tempMin_l14","pctPosSent_l14","weekend_l14","spend_log","spend_7l_log","spend_14l_log","clicks_log","clicks_7l_log","clicks_14l_log","reach_log","reach_7l_log","reach_14l_log","cases_log","cases_7l_log","cases_14l_log"
"2020-09-01","Los Angeles",820,3.1,12,0,74,64,0.85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,12,NA,NA
"2020-09-02","Los Angeles",780,3.1,12,0,72,63,0.92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,12,NA,NA
"2020-09-03","Los Angeles",780,3.1,12,0,74,63,0.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,12,NA,NA
"2020-09-04","Los Angeles",810,3.1,11,0,77,64,0.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,5.5,NA,NA,9.3,NA,NA,12,NA,NA
"2020-09-05","Los Angeles",490,3.1,11,0,86,67,0.99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,5.7,NA,NA,9.6,NA,NA,12,NA,NA
"2020-09-06","Los Angeles",400,3.1,11,0,99,71,0.99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,12,NA,NA
"2020-09-07","Los Angeles",360,3.1,11,0,83,70,0.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,12,NA,NA
"2020-09-08","Los Angeles",810,3.1,11,0,77,69,0.99,0,820,3.1,12,0,74,64,0.85,0,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,7,0,NA,11,0,NA,12,12,NA
"2020-09-09","Los Angeles",740,3.1,11,0,73,64,0.98,0,780,3.1,12,0,72,63,0.92,0,NA,NA,NA,NA,NA,NA,NA,NA,6.2,0,NA,7.1,0,NA,11,0,NA,12,12,NA
"2020-09-10","Los Angeles",770,3.1,11,0,70,62,0.98,0,780,3.1,12,0,74,63,0.99,0,NA,NA,NA,NA,NA,NA,NA,NA,6.2,0,NA,7,0,NA,11,0,NA,12,12,NA
