date,total_customers,la,ie,av,vc,rv,sb,oc
8/1/2021,-0.4,,,,,,,
8/2/2021,-0.225,,-0.125,,,,,-0.1
8/3/2021,-0.125,,,,,,,0
8/4/2021,-0.2857142857,,,,,,,
8/5/2021,-0.02777777778,,,,0,,0,0.1666666667
8/6/2021,-0.25,,,,,,,
8/7/2021,-0.1363636364,,,,,,,0.5
8/8/2021,-0.4166666667,,,,,,,
8/9/2021,-0.3,,0,,,,,
8/10/2021,-0.3055555556,,0,,,,,
8/11/2021,-0.3846153846,,,,,-0.5,,
8/12/2021,-0.2173913043,,0,,,,,
8/13/2021,-0.2777777778,,,,,,,0
8/14/2021,0,0,,,,,,0
8/15/2021,0,,,,,,,
8/16/2021,-0.2307692308,0,,,,,,
8/17/2021,-0.2,0,,,,,-0.1,0
8/18/2021,-0.1818181818,,,,,,,
8/19/2021,-0.1,,0,,,,,0
8/20/2021,-0.3181818182,,-0.5,,0,,,-0.25
8/21/2021,-0.15,,0,,,,,0
8/22/2021,-0.2777777778,,,,,,,
8/23/2021,-0.1363636364,0,-0.5,,-0.5,-0.5,-0.5,-0.1428571429
8/24/2021,-0.1785714286,,,,,,0,
8/25/2021,-0.3181818182,,,,,,,
8/26/2021,-0.0875,,0,,,,-0.09090909091,0
8/27/2021,-0.2105263158,0,-0.5,,,,-0.5,0
8/28/2021,-0.2916666667,,,,,,,-0.5
8/29/2021,-0.5,,,,,,,
8/30/2021,-0.1,,,,,,,0.1666666667
8/31/2021,-0.2857142857,,,,,,,
9/1/2021,-0.1,0,-0.08333333333,,,0,0,
9/2/2021,0.04166666667,,0.1666666667,,0,,,0.25
9/3/2021,-0.25,0,,,,,,-0.1
9/4/2021,-0.3,,,,,,,
9/5/2021,-0.3636363636,,,,,,,
9/6/2021,-0.25,,,,,,0,
9/7/2021,-0.2307692308,,0,,,0,-0.25,-0.0625
9/8/2021,-0.2058823529,,-0.5,,,,,0
9/9/2021,-0.07692307692,0,-0.08333333333,0,0.1666666667,,,0
9/10/2021,-0.08333333333,,,-0.08333333333,,,-0.5,0.25
9/11/2021,0,,,,,,,0
9/12/2021,-0.1666666667,,,0,,,,
9/13/2021,-0.078125,,,0.125,0.1666666667,0,0,0
9/14/2021,-0.1666666667,-0.1666666667,-0.1666666667,0,,-0.25,,0
9/15/2021,-0.1744186047,0,0.0625,-0.5,-0.5,,,-0.04545454545
9/16/2021,-0.0625,,-0.25,0.5,,,0,-0.05
9/17/2021,-0.225,,,0.25,,0.25,,-0.25
9/18/2021,-0.1,,0,,0,,0,0
9/19/2021,-0.1875,,,,,,,-0.1666666667
9/20/2021,-0.04838709677,0.5,0,0.1666666667,,,,0
9/21/2021,-0.2045454545,0.25,,-0.08333333333,,,0,0
9/22/2021,-0.075,-0.5,,0.5,,,,0.125
9/23/2021,-0.25,,-0.5,-0.1666666667,,,,-0.25
9/24/2021,-0.375,,,-0.5,,,-0.5,
9/25/2021,-0.3,0,,-0.5,,,0,-0.5
9/26/2021,-0.1428571429,,,,,,,
9/27/2021,-0.1666666667,0,0,0.0625,-0.25,0,0,0
9/28/2021,-0.1785714286,0,0,-0.1111111111,,0,-0.1666666667,0
