"date","cases","operated","late","AWND","PRCP","TMAX","weekend_d","reach","impressions","spend","clicks","unem_i","gasprice","pct_Positive","eng_sum","l_inbound"
2019-02-01,0,129,10,5.22,0.018,61.2,0,40979,41558,142.8,36,4.7258064516129,3.19428571428571,0.785714285714286,97,9.57706465176792
2019-02-02,0,40,4,11.2,1.20666666666667,59.6666666666667,1,41606,42110,143.330011,47,4.70967741935484,3.19685714285714,0.792452830188679,114,7.95050243480885
2019-02-03,0,34,0,10.2666666666667,0.136666666666667,57.6666666666667,1,41623,42590,143.43002,36,4.69354838709677,3.19942857142857,0.815964523281597,27,7.73892375743946
2019-02-04,0,129,4,9.2,0.372,57.4,0,90807,92793,299.09,178,4.67741935483871,3.202,0.826989619377163,637,9.66135229504032
2019-02-05,0,129,17,11.58,0.126,54,0,126306,132247,457.680043,236,4.66129032258065,3.20742857142857,0.81025641025641,133,9.64355034039291
2019-02-06,0,130,19,7.08,0,53.8,0,112918,117535,451.990032,219,4.64516129032258,3.21285714285714,0.795066413662239,224,9.66376990660086
2019-02-07,0,131,10,5.56,0,58.2,0,101560,104733,454.65024,217,4.62903225806452,3.21828571428571,0.79608938547486,316,9.64807904063464
2019-02-08,0,129,19,4.74,0,59,0,89915,95953,482.670048,205,4.61290322580645,3.22371428571429,0.789314516129032,301,9.59315078951954
2019-02-09,0,42,0,8.23333333333333,0.156666666666667,56.6666666666667,1,14961,15839,89.95,0,4.59677419354839,3.22914285714286,0.782857142857143,100,8.39547743273214
2019-02-10,0,34,4,10.6666666666667,0.103333333333333,55,1,16689,17729,89.970026,0,4.58064516129032,3.23457142857143,0.783206106870229,51,7.70975686445416
2019-02-11,0,129,11,4.96,0,57,0,14987,15694,89.91,0,4.56451612903226,3.24,0.814356435643564,612,9.62793165988219
2019-02-12,0,129,3,4.14,0,63.8,0,15508,16412,89.97,0,4.54838709677419,3.24185714285714,0.834394904458599,96,9.67331938628495
2019-02-13,0,129,9,7.88,0.092,58.8,0,12785,13629,89.96,0,4.53064516129032,3.24371428571429,0.831987075928918,50,9.71147923015263
2019-02-14,0,129,15,11.72,1.608,61.6,0,59429,60687,147.13,26,4.51290322580645,3.24557142857143,0.837931034482759,479,9.64982035867162
2019-02-15,0,129,8,8.94,0.096,58.2,0,61421,61590,154.701154,18,4.49516129032258,3.24742857142857,0.86073500967118,199,9.55449729135594
2019-02-16,0,40,1,12,0,55.6666666666667,1,64490,66289,161.18,30,4.49193548387097,3.24928571428571,0.848428835489834,68,8.3354314778808
2019-02-17,0,34,0,13.4,0.0666666666666667,54,1,65563,66251,157.042645,43,4.48870967741935,3.25114285714286,0.82475884244373,33,7.74500280351584
2019-02-18,0,129,6,6.72,0.004,56,0,60402,61629,156.1008,28,4.48548387096774,3.253,0.805970149253731,74,8.93550871150322
2019-02-19,0,130,15,6.06,0,55.6,0,57912,59267,155.892559,22,4.48225806451613,3.25585714285714,0.816855753646677,248,9.67338232488837
2019-02-20,0,130,5,9.94,0.074,54.8,0,51306,52638,155.540497,19,4.47903225806452,3.25871428571429,0.824858757062147,113,9.69041808679339
2019-02-21,0,129,13,7.38,0.118,53.6,0,53730,54144,158.630002,33,4.4758064516129,3.26157142857143,0.8125,154,9.69369201874142
2019-02-22,0,129,10,5.78,0,57.2,0,54301,55308,154.68,19,4.47258064516129,3.26442857142857,0.824253075571178,124,9.65297280442579
2019-02-23,0,40,2,5.33333333333333,0,59,1,54512,56895,155.53,30,4.46935483870968,3.26728571428571,0.829710144927536,118,8.42090253109795
2019-02-24,0,34,3,4.4,0,62.3333333333333,1,52119,52930,151.761078,26,4.46612903225806,3.27014285714286,0.799212598425197,65,7.99530662029082
2019-02-25,0,129,4,5.2,0,65.2,0,49685,51445,147.650229,22,4.46290322580645,3.273,0.762870514820593,96,9.68458499547917
2019-02-26,0,129,21,6.62,0,63.4,0,48167,48690,152.270011,33,4.45967741935484,3.27328571428571,0.762247838616715,105,9.70302239150588
2019-02-27,0,129,6,5.4,0.016,62.8,0,46462,47865,149.601118,31,4.45645161290323,3.27357142857143,0.73876698014629,257,9.67464026580524
2019-02-28,0,129,7,6.76,0.024,65.2,0,112471,114183,328.580824,92,4.45322580645161,3.27385714285714,0.698473282442748,171,9.67250082376089
2019-03-01,0,130,9,6.18,0,64,0,136631,137420,442.831112,137,4.45,3.27414285714286,0.67590027700831,328,9.6628162843537
2019-03-02,0,41,1,11.2666666666667,0.44,62,1,117864,118603,435.430598,144,4.44677419354839,3.27442857142857,0.622748815165877,187,7.84267147497946
