"date","vn","av","sb","rv","oc","ie","la","inbound","weekend_d"
2016-01-01,0,649,926,0,0,0,0,1575,0
2016-01-02,0,1449,2576,0,1371,230,271,5897,1
2016-01-03,0,1260,1538,0,866,126,191,3981,1
2016-01-04,1633,2841,5793,2302,3764,2171,1210,19714,0
2016-01-05,1721,2549,5498,2643,4534,2147,1356,20448,0
2016-01-06,1771,2842,5576,2424,4381,2234,1512,20740,0
2016-01-07,1706,2580,5531,2487,4180,2184,1191,19859,0
2016-01-08,1568,2965,5040,2065,4000,1960,1306,18904,0
2016-01-09,0,1848,1563,0,995,131,269,4806,1
2016-01-10,0,1520,1079,0,785,115,168,3667,1
2016-01-11,1886,2521,6014,2512,4097,2323,1296,20649,0
2016-01-12,1728,2959,5806,2616,4222,2209,1324,20864,0
2016-01-13,1748,2855,5944,2088,3885,2280,1336,20136,0
2016-01-14,1984,2914,5235,1954,4013,2318,1420,19838,0
2016-01-15,1546,2537,4785,2035,3653,1589,1424,17569,0
2016-01-16,0,1512,1961,0,1117,182,252,5024,1
2016-01-17,0,1367,1437,0,796,112,201,3913,1
2016-01-18,402,1919,2998,1016,2119,1523,497,10474,0
2016-01-19,1946,2519,5858,2131,4064,2520,1089,20127,0
2016-01-20,1475,2894,6069,2506,4389,2551,1179,21063,0
2016-01-21,1696,2792,5952,2545,4302,2517,1366,21170,0
2016-01-22,1623,2993,5119,2290,4260,2247,1107,19639,0
2016-01-23,0,1504,2508,0,1240,178,523,5953,1
2016-01-24,0,1541,1234,0,548,206,213,3742,1
2016-01-25,1860,2899,5876,2512,4045,2248,1325,20765,0
2016-01-26,1400,2464,5365,2505,4344,2425,1332,19835,0
2016-01-27,1856,2987,5734,2413,3861,2510,1481,20842,0
2016-01-28,1765,2907,5399,2567,4183,2375,1269,20465,0
2016-01-29,1271,2994,4802,2342,4115,2106,1160,18790,0
2016-01-30,0,1349,2202,0,1189,161,314,5215,1
2016-01-31,0,1323,799,0,499,89,153,2863,1
2017-01-01,0,915,1071,0,898,109,117,3110,1
2017-01-02,0,1144,1023,0,535,117,154,2973,0
2017-01-03,1619,2734,4444,2252,4254,1967,1051,18321,0
2017-01-04,1660,2877,4530,1783,3881,2332,1215,18278,0
2017-01-05,1675,2755,4254,2204,4714,2290,1188,19080,0
2017-01-06,1294,3000,3918,1965,3735,2134,1278,17324,0
2017-01-07,0,1170,1536,0,970,122,245,4043,1
2017-01-08,0,1137,1075,0,747,130,185,3274,1
2017-01-09,1530,2651,4246,2052,4854,2299,1179,18811,0
2017-01-10,1665,3073,4590,2426,4608,2027,1267,19656,0
2017-01-11,1807,2895,4002,2245,4297,2368,1448,19062,0
2017-01-12,1674,2761,4707,2227,4003,2447,1341,19160,0
2017-01-13,1455,2790,4010,1914,3834,2133,1229,17365,0
2017-01-14,0,1245,1928,0,1431,139,359,5102,1
2017-01-15,0,985,1268,0,802,147,216,3418,1
2017-01-16,671,1810,2081,908,2488,1453,440,9851,0
2017-01-17,1734,3192,4431,2404,4579,2332,1363,20035,0
2017-01-18,1602,3062,4548,2542,4323,2174,1022,19273,0
2017-01-19,1668,3025,4667,2420,3980,2324,2026,20110,0
2017-01-20,1530,2529,3949,2126,3599,2285,1209,17227,0
2017-01-21,0,2438,4389,0,1264,137,335,8563,1
2017-01-22,0,821,814,0,499,87,133,2354,1
2017-01-23,1650,2705,4189,2316,4301,2116,1271,18548,0
2017-01-24,1865,2940,5061,2277,4146,2393,1286,19968,0
2017-01-25,1796,3054,5123,2294,4084,3554,1308,21213,0
2017-01-26,1790,2906,4800,2299,4318,2359,1277,19749,0
2017-01-27,1475,2947,4610,2067,4168,2054,1553,18874,0
2017-01-28,0,1307,2270,0,1202,155,250,5184,1
2017-01-29,0,1274,1793,0,777,129,222,4195,1
2017-01-30,1588,3089,4638,1919,4515,2366,1198,19313,0
2017-01-31,1841,3205,4968,2529,4288,2424,1147,20402,0
2018-01-01,0,749,937,0,356,87,394,2523,0
2018-01-02,1431,2810,3882,1899,3468,2107,1164,16761,0
2018-01-03,1695,2877,4494,2398,3606,2191,1232,18493,0
2018-01-04,1645,2959,4435,2294,3990,2049,1266,18638,0
2018-01-05,1438,3064,3986,2081,3631,3683,1358,19241,0
2018-01-06,0,1365,2090,0,949,172,300,4876,1
2018-01-07,0,1091,1034,0,518,141,185,2969,1
